Year,Month,period,cpi_rate
2019,1,2019-01,251.712
2019,2,2019-02,252.776
2019,3,2019-03,254.202
2019,4,2019-04,255.548
2019,5,2019-05,256.092
2019,6,2019-06,256.143
2019,7,2019-07,256.571
2019,8,2019-08,256.558
2019,9,2019-09,256.759
2019,10,2019-10,257.346
2019,11,2019-11,257.208
2019,12,2019-12,256.974
2020,1,2020-01,257.971
2020,2,2020-02,258.678
2020,3,2020-03,258.115
2020,4,2020-04,256.389
2020,5,2020-05,256.394
2020,6,2020-06,257.797
2020,7,2020-07,259.101
2020,8,2020-08,259.918
2020,9,2020-09,260.28
2020,10,2020-10,260.388
2020,11,2020-11,260.229
2020,12,2020-12,260.474
2021,1,2021-01,261.582
2021,2,2021-02,263.014
2021,3,2021-03,264.877
2021,4,2021-04,267.054
2021,5,2021-05,269.195
2021,6,2021-06,271.696
2021,7,2021-07,273.003
2021,8,2021-08,273.567
2021,9,2021-09,274.31
2021,10,2021-10,276.589
2021,11,2021-11,277.948
2021,12,2021-12,278.802
2022,1,2022-01,281.148
2022,2,2022-02,283.716
2022,3,2022-03,287.504
2022,4,2022-04,289.109
2022,5,2022-05,292.296
2022,6,2022-06,296.311
2022,7,2022-07,296.276
2022,8,2022-08,296.171
2022,9,2022-09,296.808
2022,10,2022-10,298.012
2022,11,2022-11,297.711
2022,12,2022-12,296.797
2023,1,2023-01,299.17
2023,2,2023-02,300.84
2023,3,2023-03,301.836
2023,4,2023-04,303.363
2023,5,2023-05,304.127
2023,6,2023-06,305.109
2023,7,2023-07,305.691
2023,8,2023-08,307.026
2023,9,2023-09,307.789
2023,10,2023-10,307.671
2023,11,2023-11,307.051
2023,12,2023-12,306.746
2024,1,2024-01,308.417
2024,2,2024-02,310.326
2024,3,2024-03,312.332
2024,4,2024-04,313.548
2024,5,2024-05,314.069
2024,6,2024-06,314.175
2024,7,2024-07,314.54
2024,8,2024-08,314.796
2024,9,2024-09,315.301
2024,10,2024-10,315.664
2024,11,2024-11,315.493
2024,12,2024-12,315.605
2025,1,2025-01,317.671
2025,2,2025-02,319.082
2025,3,2025-03,319.799
2025,4,2025-04,320.795
2025,5,2025-05,321.465
2025,6,2025-06,322.561
2025,7,2025-07,323.048
2025,8,2025-08,323.976
2025,9,2025-09,324.8
