Period,adjusted_transactions
2019-01,14
2019-02,12
2019-03,12
2019-04,16
2019-05,10
2019-06,20
2019-07,22
2019-08,12
2019-09,11
2019-10,21
2019-11,8
2019-12,16
2020-01,10
2020-02,12
2020-03,11
2020-04,9
2020-05,9
2020-06,18
2020-07,8
2020-08,20
2020-09,23
2020-10,30
2020-11,20
2020-12,34
2021-01,22
2021-02,14
2021-03,30
2021-04,44
2021-05,34
2021-06,45
2021-07,27
2021-08,38
2021-09,46
2021-10,35
2021-11,37
2021-12,90
2022-01,67
2022-02,74
2022-03,70
2022-04,85
2022-05,69
2022-06,121
2022-07,65
2022-08,64
2022-09,66
2022-10,58
2022-11,37
2022-12,46
2023-01,55
2023-02,27
2023-03,57
2023-04,39
2023-05,47
2023-06,45
2023-07,38
2023-08,60
2023-09,49
2023-10,51
2023-11,46
2023-12,46
2024-01,27
2024-02,37
2024-03,55
2024-04,71
2024-05,61
2024-06,54
2024-07,53
2024-08,52
2024-09,51
2024-10,44
2024-11,43
2024-12,66
2025-01,37
2025-02,58
2025-03,71
2025-04,69
2025-05,57
2025-06,68
2025-07,56
2025-08,51
2025-09,42
